Trading_Date,Agriculture_Fertilizers_Chemicals,Banking_Capital_Markets,Big_Tech_Cloud_Platforms,Biotech_Pharmaceuticals,Climate_Extreme_Weather_Insurance,Defense_Aerospace,Entertainment_Gaming_Streaming,Fintech_Payments,Green_Energy_Storage,Industrial_Machinery_Autos,Luxury_Goods_Retail,Medical_Devices_Diagnostics,Metals_Mining_Critical_Minerals,Oil_Gas_Commodities,Real_Estate_REITs,Semiconductors_CPUs_GPUs,Telecommunications_Connectivity
2018-01-01 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 00:00:00-05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 00:00:00-05:00,1.6122598024080808,-10.451787990334521,6.072341854172586,-11.866142349986697,-14.198903837720183,-7.918369524444516,-0.11678526912689713,-20.352343171328236,-9.704167096898063,-0.525196249097478,0.0672860851606486,2.6951888077812507,-13.999298557992006,-8.459296118583111,8.871591255656485,-16.299611147768168,0.203010163873783
2018-01-08 00:00:00-05:00,-99.3785308336806,-57.27035370142593,-15.660737431902756,-29.167343934288713,-150.4033945217593,-42.39469157893381,-50.06125551814044,-75.59125109473548,-83.15208203095528,-78.51767617559578,-101.01205291086856,-47.98210913932901,-106.59048693869386,-123.85952017725101,-100.2368592901582,-47.533580416680884,-31.08746545630151
2018-01-09 00:00:00-05:00,-29.944735487222275,-9.376449387912295,18.92556591415947,21.184329608067582,-13.942469207612854,-8.878248198840453,-28.68888349725901,-34.63193189542218,-17.030300016411594,-18.208149446804697,-33.285357173431194,24.411692120979694,-56.210057514331275,-28.08941516048303,-31.59857906232891,-8.127085630537126,-2.135499049596271
2018-01-10 00:00:00-05:00,1.108705140789757,5.034135219912833,58.35615113084485,1.2403274863966438,-12.216243801895704,2.687450954536948,29.64596671217928,0.40733857129317286,24.374575881416753,-0.06781568368028235,-20.830734039472386,20.161326114728382,-30.365821834684706,-12.284350146673093,41.384886498679435,13.24066883284986,61.73776271144838
2018-01-11 00:00:00-05:00,-41.57892125004198,-57.61890373766535,-4.205346184534209,-44.92602162066078,-72.05281131149451,-8.1417666975951,-20.55789291391376,-58.235840834301335,-18.18048119199993,-35.595422056662414,-45.0067288075185,-24.958976519012147,-61.75105353133196,-25.75409828143395,-9.448421923280005,-7.932602682204846,1.2992521981016247
2018-01-12 00:00:00-05:00,-102.0674340347621,-96.41458280611373,-84.83298927886692,-82.43295197207304,-81.30108916900383,-74.25072279564502,-101.66457318881476,-127.67890069711433,-116.6152775547614,-116.44839490590496,-127.91396771743557,-64.55375204386688,-121.05687264250608,-94.06436614644626,-110.92807526147443,-143.58768566058063,-95.3458726669251
2018-01-15 00:00:00-05:00,-106.05748628964834,-154.24821027994227,-116.97501508520025,-131.4231073755566,-143.43622226340773,-158.10204450410652,-139.198874770315,-151.88751461284554,-112.94980093283337,-109.4811323699853,-169.6084899732966,-81.06584584450131,-151.2561222757401,-131.01526854009103,-110.37232727408484,-115.53546514196516,-90.8320888137815
2018-01-16 00:00:00-05:00,-5.815896490138491,-33.85733037836399,-5.705845628631793,-11.079252552892822,2.732334085744582,-16.1792716190884,-12.85740473534531,-40.920048360780925,0.25531927493549267,-2.955696099270123,-21.41155036209237,-17.235118212883474,-8.863053380954543,-2.4557356759061033,-16.908252944690773,-1.5253671484126547,32.50052188734207
2018-01-17 00:00:00-05:00,-33.2888843372731,-75.99546821338733,-40.31335207168302,-45.83511542492011,-24.116376522499156,-24.324059923596256,-40.97391425277909,-76.13251664504389,-13.235521119444163,2.699230818250693,-45.64411713234017,-40.18273054898291,-59.373382764446745,-34.637875719482885,-52.376853270729185,-30.816997385572776,-43.57768675991241
2018-01-18 00:00:00-05:00,19.476442348479008,63.93891748587801,33.34761194149333,17.48238713698891,9.395857509148314,15.916403056660986,5.083819558590129,11.72244942323725,36.784001081035136,26.249164606944603,13.866468436902755,22.451024575141098,24.632445405366457,9.68242699985758,66.44136308091262,50.20156959739932,53.13603661059154
2018-01-19 00:00:00-05:00,-20.623218772201362,2.5040515607722273,31.10596176802823,24.789274691894914,-25.768607977236254,-18.099786962472365,12.938506201624342,-6.461471878321218,-3.872926994633631,-6.938542327623328,12.290303871588169,13.665673088637831,-6.4763875264082476,-44.59909666028348,-3.1624135638699578,-11.973337302991002,10.475675811354382
2018-01-22 00:00:00-05:00,-122.13845016278088,-81.95765674291061,-22.287071350228214,-45.189640986342404,-148.61570304811832,-138.58153819874946,-54.76766176537873,-130.0019267916628,-59.919358305655635,-92.57383968112987,-120.31315420532273,-123.8101546697746,-124.03596263015305,-116.50124300203774,-128.7197373642895,-92.37473736499915,-56.73277396235474
2018-01-23 00:00:00-05:00,-2.954300045079934,3.642139035242189,15.870696316018972,31.412077588400635,-19.68821102783058,-1.5282714951401453,18.77278073693722,-11.082589785793292,-26.098103474738277,-18.51001480539138,11.306765110449481,-19.551801260237617,-11.801160379796892,-1.4550603172456351,19.116989497116688,27.82220266060883,48.54815340013621
2018-01-24 00:00:00-05:00,50.847575239847025,71.16338829645571,76.70432150334685,56.48101892086774,65.68726280796427,49.661151806673175,90.40724513923713,63.74877480623258,51.204016967455466,28.552516064558645,74.72102473515858,70.8553765791463,43.78035010595737,40.99188893058463,45.71428039739317,46.31345456310771,80.6478731383137
2018-01-25 00:00:00-05:00,-16.925270134651917,1.095042868515654,-28.17854065177344,-35.09397360095061,-18.079320689281865,-3.478867603297784,-19.14989968376558,-23.217091323467965,-44.317660444269514,-24.65982550829495,-6.776937384035616,-4.067253868204007,-24.83754449347179,-9.120107283133375,-20.46453208455298,-26.312022292749614,-18.325485176475162
